"Species","Species_code","He_mean_percent_change","He_CI_lower","He_CI_upper","He_p","Ho_mean_percent_change","Ho_CI_lower","Ho_CI_upper","Ho_p"
"Blackpoll Warbler","blpw",0.858654464994653,0.529073062117078,1.19466293434305,0.0603440694839226,-12.029224284136,-17.7565624035919,-5.91677233036388,0.0787332489375783
"Black-throated Blue Warbler","btbw",1.6376678577255,1.49934424532581,1.77907686002562,0.000331941781592672,-15.8791540292915,-18.3671171588302,-13.4298151969438,0.00557358958881661
"Prairie Warbler","praw",0.494788306932584,0.259242087810773,0.719470841468625,0.0648892394680054,-17.090190008014,-23.3534089882788,-11.6240207914381,0.00711865196133438
"Yellow-rumped Warbler","yrwa",0.411765160290888,0.357087316145988,0.464253254105765,0.0146648639111124,-13.3559454743875,-15.278551697936,-11.384051361321,0.0027246210672626
